candidate_id,gender,income_group,education_score,experience_years,qualified,hired
1001,Male,High,88,7,1,1
1002,Female,High,91,8,1,1
1003,Male,Medium,76,5,1,1
1004,Female,Medium,82,6,1,0
1005,Male,Low,69,4,0,0
1006,Female,Low,74,5,1,0
1007,Male,High,93,9,1,1
1008,Female,High,89,7,1,1
1009,Male,Medium,80,6,1,1
1010,Female,Medium,78,5,1,0
1011,Male,Low,71,4,0,1
1012,Female,Low,73,4,0,0
1013,Male,High,85,6,1,1
1014,Female,High,87,6,1,0
1015,Male,Medium,77,5,1,1
1016,Female,Medium,84,7,1,1
1017,Male,Low,70,3,0,0
1018,Female,Low,75,4,1,0
1019,Male,High,90,8,1,1
1020,Female,High,92,9,1,1
1021,Male,Medium,79,6,1,1
1022,Female,Medium,81,6,1,0
1023,Male,Low,68,3,0,0
1024,Female,Low,76,5,1,0
